No.,Cluster,Health facility,Y,X
1,Chingale,Changalume,-15.3896,35.21184
2,Chingale,Chilipa,-15.32447,35.11715
3,Chingale,Mmambo,-15.26264,35.15945
4,Chingale,Nkasala,-15.32778,35.21661
5,Chingale,Chipini,-15.39007,35.09531
6,Chingale,Chingale,-15.39694,35.1808
7,City,City clinic,-15.383472,35.321326
8,City,Zomba central,-15.3994,35.31378
9,City,Cobbe,-15.39094,35.30534
10,City,Namadidi,-15.41079,35.24736
11,City,Police hospital,,
12,City,Zilindo,-15.3805,35.3013
13,City,Matawale,-15.39029,35.35958
14,City,Chanco,-15.38533,35.33213
15,City,Naisi,-15.35785,35.3849
16,City,Sadzi,-15.40882,35.31969
17,City,Chuluchonsema,-15.46571,35.51662
18,Domasi,Domasi,-15.28099,35.39935
19,Domasi,H. Paker,-15.29912,35.36092
20,Domasi,St lukes,-15.20914,35.35291
21,Domasi,Bimbi,-15.30876,35.4794
22,Domasi,Machinjiri,-15.23666,35.41707
23,Domasi,Namasalima,-15.23142,35.48876
24,Likangala,Chamba,-15.46571,35.51662
25,Likangala,Likangala,-15.42787,35.54461
26,Likangala,Makwapala,-15.36938,35.4506
27,Likangala,Matiya,-15.53371,35.5478
28,Likangala,Khanda ,-15.3581515,35.5116866
29,Likangala,Pirimiti,-15.48302,35.45048
30,Likangala,Makina,-15.46571,35.51662
31,Likangala,SITIMA (St Robert) ,-15.4117893,35.4436095
32,Mayaka,Magomero ,,
33,Mayaka,Nasawa,-15.6023,35.25956
34,Mayaka,Ngwelero,-15.66645,35.42718
35,Mayaka,Magomero ,-15.56147,35.26101
36,Thondwe,Lambulira,-15.4841,35.337
37,Thondwe,Maera,-15.50987,35.1315
38,Thondwe,Namikango,-15.47723,35.24056
39,Thondwe,Thondwe,-15.48458,35.23696
40,Thondwe,Maera,-15.50987,35.1315
